<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20190101;000000;69.7045000
USDRUB;D;20190102;000000;68.9165000
USDRUB;D;20190103;000000;68.7099000
USDRUB;D;20190104;000000;67.5415000
USDRUB;D;20190105;000000;67.6321000
USDRUB;D;20190106;000000;68.1750000
USDRUB;D;20190107;000000;66.6696000
USDRUB;D;20190108;000000;66.9198000
USDRUB;D;20190109;000000;66.7473000
USDRUB;D;20190110;000000;66.8545000
USDRUB;D;20190111;000000;66.8571000
USDRUB;D;20190112;000000;66.8887000
USDRUB;D;20190113;000000;66.8683000
USDRUB;D;20190114;000000;66.9800000
USDRUB;D;20190115;000000;66.9527000
USDRUB;D;20190116;000000;66.3266000
USDRUB;D;20190117;000000;66.3215000
USDRUB;D;20190118;000000;66.1866000
USDRUB;D;20190119;000000;66.2130000
USDRUB;D;20190120;000000;66.1447000
USDRUB;D;20190121;000000;66.3768000
USDRUB;D;20190122;000000;66.5150000
USDRUB;D;20190123;000000;66.0603000
USDRUB;D;20190124;000000;65.7346000
USDRUB;D;20190125;000000;65.9380000
USDRUB;D;20190126;000000;66.0045000
USDRUB;D;20190127;000000;66.5531000
USDRUB;D;20190128;000000;66.2540000
USDRUB;D;20190129;000000;66.0080000
USDRUB;D;20190130;000000;65.4597000
USDRUB;D;20190131;000000;65.3415000
USDRUB;D;20190201;000000;65.4415000
USDRUB;D;20190202;000000;65.4623000
USDRUB;D;20190203;000000;65.4740000
USDRUB;D;20190204;000000;65.5785000
USDRUB;D;20190205;000000;65.6030000
USDRUB;D;20190206;000000;65.8716000
USDRUB;D;20190207;000000;65.8771000
USDRUB;D;20190208;000000;65.7237000
USDRUB;D;20190209;000000;65.5811000
USDRUB;D;20190210;000000;65.4607000
USDRUB;D;20190211;000000;65.7753000
USDRUB;D;20190212;000000;65.8077000
USDRUB;D;20190213;000000;66.4911000
USDRUB;D;20190214;000000;66.6482000
USDRUB;D;20190215;000000;66.2698000
USDRUB;D;20190216;000000;66.3109000
USDRUB;D;20190217;000000;66.1304000
USDRUB;D;20190218;000000;66.1976000
USDRUB;D;20190219;000000;65.7714000
USDRUB;D;20190220;000000;65.6666000
USDRUB;D;20190221;000000;65.5255000
USDRUB;D;20190222;000000;65.3501000
USDRUB;D;20190223;000000;65.3770000
USDRUB;D;20190224;000000;65.3770000
USDRUB;D;20190225;000000;65.5186000
USDRUB;D;20190226;000000;65.6967000
USDRUB;D;20190227;000000;65.7502000
USDRUB;D;20190228;000000;65.9150000
USDRUB;D;20190301;000000;65.9155000
USDRUB;D;20190302;000000;65.9320000
USDRUB;D;20190303;000000;65.9320000
USDRUB;D;20190304;000000;65.7628000
USDRUB;D;20190305;000000;65.7880000
USDRUB;D;20190306;000000;65.9480000
USDRUB;D;20190307;000000;66.2490000
USDRUB;D;20190308;000000;66.2817000
USDRUB;D;20190309;000000;66.3572000
USDRUB;D;20190310;000000;66.4196000
USDRUB;D;20190311;000000;65.8633000
USDRUB;D;20190312;000000;65.5311000
USDRUB;D;20190313;000000;65.3890000
USDRUB;D;20190314;000000;65.4655000
USDRUB;D;20190315;000000;64.7930000
USDRUB;D;20190316;000000;64.8120000
USDRUB;D;20190317;000000;64.8202000
USDRUB;D;20190318;000000;64.3272000
USDRUB;D;20190319;000000;64.3746000
USDRUB;D;20190320;000000;63.8185000
USDRUB;D;20190321;000000;63.8643000
USDRUB;D;20190322;000000;64.6738000
USDRUB;D;20190323;000000;64.6511000
USDRUB;D;20190324;000000;64.5010000
USDRUB;D;20190325;000000;63.9653000
USDRUB;D;20190326;000000;64.3690000
USDRUB;D;20190327;000000;64.8225000
USDRUB;D;20190328;000000;65.0964000
USDRUB;D;20190329;000000;65.6700000
USDRUB;D;20190330;000000;65.6449000
USDRUB;D;20190331;000000;65.6130000
USDRUB;D;20190401;000000;65.1921000
USDRUB;D;20190402;000000;65.3060000
USDRUB;D;20190403;000000;65.2188000
USDRUB;D;20190404;000000;65.4288000
USDRUB;D;20190405;000000;65.2087000
USDRUB;D;20190406;000000;65.3016000
USDRUB;D;20190407;000000;65.5268000
USDRUB;D;20190408;000000;64.8575000
USDRUB;D;20190409;000000;64.9258000
USDRUB;D;20190410;000000;64.3250000
USDRUB;D;20190411;000000;64.5876000
USDRUB;D;20190412;000000;64.2821000
USDRUB;D;20190413;000000;64.3100000
USDRUB;D;20190414;000000;64.3243000
USDRUB;D;20190415;000000;64.2838000
USDRUB;D;20190416;000000;64.0705000
USDRUB;D;20190417;000000;63.8038000
USDRUB;D;20190418;000000;63.8320000
USDRUB;D;20190419;000000;63.9901000
USDRUB;D;20190420;000000;64.0307000
USDRUB;D;20190421;000000;63.9730000
USDRUB;D;20190422;000000;63.8038000
USDRUB;D;20190423;000000;63.6940000
USDRUB;D;20190424;000000;64.5778000
USDRUB;D;20190425;000000;64.5464000
USDRUB;D;20190426;000000;64.6795000
USDRUB;D;20190427;000000;64.7469000
USDRUB;D;20190428;000000;64.9908000
USDRUB;D;20190429;000000;64.4386000
USDRUB;D;20190430;000000;64.5876000
USDRUB;D;20190501;000000;64.9227000
USDRUB;D;20190502;000000;65.3687000
USDRUB;D;20190503;000000;65.0395000
USDRUB;D;20190504;000000;65.0714000
USDRUB;D;20190505;000000;65.3150000
USDRUB;D;20190506;000000;65.2100000
USDRUB;D;20190507;000000;65.3872000
USDRUB;D;20190508;000000;64.9760000
USDRUB;D;20190509;000000;65.2242000
USDRUB;D;20190510;000000;65.1452000
USDRUB;D;20190511;000000;65.1369000
USDRUB;D;20190512;000000;64.9134000
USDRUB;D;20190513;000000;65.3670000
USDRUB;D;20190514;000000;64.8913000
USDRUB;D;20190515;000000;64.5975000
USDRUB;D;20190516;000000;64.5988000
USDRUB;D;20190517;000000;64.7615000
USDRUB;D;20190518;000000;64.7517000
USDRUB;D;20190519;000000;64.7591000
USDRUB;D;20190520;000000;64.5414000
USDRUB;D;20190521;000000;64.3692000
USDRUB;D;20190522;000000;64.2987000
USDRUB;D;20190523;000000;64.8412000
USDRUB;D;20190524;000000;64.4776000
USDRUB;D;20190525;000000;64.4523000
USDRUB;D;20190526;000000;64.4121000
USDRUB;D;20190527;000000;64.3131000
USDRUB;D;20190528;000000;64.6750000
USDRUB;D;20190529;000000;64.9205000
USDRUB;D;20190530;000000;65.2016000
USDRUB;D;20190531;000000;65.3803000
USDRUB;D;20190601;000000;65.5860000
USDRUB;D;20190602;000000;65.5377000
USDRUB;D;20190603;000000;65.2228000
USDRUB;D;20190604;000000;65.1456000
USDRUB;D;20190605;000000;65.3030000
USDRUB;D;20190606;000000;65.0930000
USDRUB;D;20190607;000000;64.9419000
USDRUB;D;20190608;000000;64.3670000
USDRUB;D;20190609;000000;64.5829000
USDRUB;D;20190610;000000;64.6877000
USDRUB;D;20190611;000000;64.5060000
USDRUB;D;20190612;000000;64.8838000
USDRUB;D;20190613;000000;64.5490000
USDRUB;D;20190614;000000;64.3605000
USDRUB;D;20190615;000000;64.3670000
USDRUB;D;20190616;000000;64.2679000
USDRUB;D;20190617;000000;64.2980000
USDRUB;D;20190618;000000;63.9930000
USDRUB;D;20190619;000000;63.6930000
USDRUB;D;20190620;000000;62.8381000
USDRUB;D;20190621;000000;63.0000000
USDRUB;D;20190622;000000;63.0000000
USDRUB;D;20190623;000000;63.0067000
USDRUB;D;20190624;000000;62.5410000
USDRUB;D;20190625;000000;62.8450000
USDRUB;D;20190626;000000;62.9728000
USDRUB;D;20190627;000000;63.0401000
USDRUB;D;20190628;000000;63.3840000
USDRUB;D;20190629;000000;63.1671000
USDRUB;D;20190630;000000;63.0762000
USDRUB;D;20190701;000000;62.8473000
USDRUB;D;20190702;000000;63.2530000
USDRUB;D;20190703;000000;63.2500000
USDRUB;D;20190704;000000;63.4528000
USDRUB;D;20190705;000000;63.7900000
USDRUB;D;20190706;000000;63.6942000
USDRUB;D;20190707;000000;63.6969000
USDRUB;D;20190708;000000;63.6139000
USDRUB;D;20190709;000000;63.7873000
USDRUB;D;20190710;000000;63.0923000
USDRUB;D;20190711;000000;62.8190000
USDRUB;D;20190712;000000;62.9828000
USDRUB;D;20190713;000000;62.9900000
USDRUB;D;20190715;000000;62.6040000
USDRUB;D;20190716;000000;63.0163000
USDRUB;D;20190717;000000;62.8701000
USDRUB;D;20190718;000000;62.7292000
USDRUB;D;20190719;000000;63.0100000
USDRUB;D;20190720;000000;62.9374000
USDRUB;D;20190721;000000;63.0094000
USDRUB;D;20190722;000000;63.0123000
USDRUB;D;20190723;000000;63.1663000
USDRUB;D;20190724;000000;63.3020000
USDRUB;D;20190725;000000;63.2420000
USDRUB;D;20190726;000000;62.9900000
USDRUB;D;20190727;000000;62.9180000
USDRUB;D;20190728;000000;63.1553000
USDRUB;D;20190729;000000;63.4264000
USDRUB;D;20190730;000000;63.4949000
USDRUB;D;20190731;000000;63.5403000
USDRUB;D;20190801;000000;64.2973000
USDRUB;D;20190802;000000;65.1552000
USDRUB;D;20190804;000000;65.1423000
USDRUB;D;20190805;000000;65.7056000
USDRUB;D;20190806;000000;65.2730000
USDRUB;D;20190807;000000;65.3738000
USDRUB;D;20190808;000000;65.0907000
USDRUB;D;20190809;000000;65.2400000
USDRUB;D;20190811;000000;65.3274000
USDRUB;D;20190812;000000;65.4167000
USDRUB;D;20190813;000000;64.9093000
USDRUB;D;20190814;000000;66.0700000
USDRUB;D;20190815;000000;66.0724000
USDRUB;D;20190816;000000;66.4810000
USDRUB;D;20190818;000000;66.3652000
USDRUB;D;20190819;000000;66.9456000
USDRUB;D;20190820;000000;66.4412000
USDRUB;D;20190821;000000;65.7802000
USDRUB;D;20190822;000000;65.5249000
USDRUB;D;20190823;000000;65.6287000
USDRUB;D;20190825;000000;66.2590000
USDRUB;D;20190826;000000;66.1136000
USDRUB;D;20190827;000000;66.4300000
USDRUB;D;20190828;000000;66.7589000
USDRUB;D;20190829;000000;66.4953000
USDRUB;D;20190830;000000;66.6670000
USDRUB;D;20190901;000000;66.7988000
USDRUB;D;20190902;000000;66.7601000
USDRUB;D;20190903;000000;66.7632000
USDRUB;D;20190904;000000;66.2200000
USDRUB;D;20190905;000000;66.1840000
USDRUB;D;20190906;000000;65.7720000
USDRUB;D;20190908;000000;65.7756000
USDRUB;D;20190909;000000;65.5262000
USDRUB;D;20190910;000000;65.3060000
USDRUB;D;20190911;000000;65.3819000
USDRUB;D;20190912;000000;64.8089000
USDRUB;D;20190913;000000;64.3270000
USDRUB;D;20190915;000000;63.9000000
USDRUB;D;20190916;000000;63.9932000
USDRUB;D;20190917;000000;64.2912000
USDRUB;D;20190918;000000;64.2310000
USDRUB;D;20190919;000000;63.9575000
USDRUB;D;20190920;000000;63.9894000
USDRUB;D;20190922;000000;63.9192000
USDRUB;D;20190923;000000;63.7740000
USDRUB;D;20190924;000000;64.0200000
USDRUB;D;20190925;000000;64.1964000
USDRUB;D;20190926;000000;64.2759000
USDRUB;D;20190927;000000;64.6440000
USDRUB;D;20190929;000000;64.6430000
USDRUB;D;20190930;000000;64.8217000
USDRUB;D;20191001;000000;65.2213000
USDRUB;D;20191002;000000;65.2275000
USDRUB;D;20191003;000000;65.0900000
USDRUB;D;20191004;000000;64.6543000
USDRUB;D;20191006;000000;64.6525000
USDRUB;D;20191007;000000;64.9495000
USDRUB;D;20191008;000000;65.1835000
USDRUB;D;20191009;000000;65.0510000
USDRUB;D;20191010;000000;64.3957000
USDRUB;D;20191011;000000;64.2110000
USDRUB;D;20191013;000000;64.2088000
USDRUB;D;20191014;000000;64.2500000
USDRUB;D;20191015;000000;64.2871000
USDRUB;D;20191016;000000;64.1021000
USDRUB;D;20191017;000000;64.0483000
USDRUB;D;20191018;000000;63.6790000
USDRUB;D;20191020;000000;63.9100000
USDRUB;D;20191021;000000;63.7503000
USDRUB;D;20191022;000000;63.6345000
USDRUB;D;20191023;000000;63.9000000
USDRUB;D;20191024;000000;64.0331000
USDRUB;D;20191025;000000;63.8475000
USDRUB;D;20191027;000000;63.8043000
USDRUB;D;20191028;000000;63.6689000
USDRUB;D;20191029;000000;63.9600000
USDRUB;D;20191030;000000;63.7602000
USDRUB;D;20191031;000000;64.1120000
USDRUB;D;20191101;000000;63.3914000
USDRUB;D;20191103;000000;63.4212000
USDRUB;D;20191104;000000;63.4330000
USDRUB;D;20191105;000000;63.4400000
USDRUB;D;20191106;000000;63.8234000
USDRUB;D;20191107;000000;63.5236000
USDRUB;D;20191108;000000;63.7933000
USDRUB;D;20191110;000000;63.7948000
USDRUB;D;20191111;000000;63.8471000
USDRUB;D;20191112;000000;64.2143000
USDRUB;D;20191113;000000;64.3094000
USDRUB;D;20191114;000000;63.9066000
USDRUB;D;20191115;000000;63.7620000
USDRUB;D;20191117;000000;63.7337000
USDRUB;D;20191118;000000;63.8464000
USDRUB;D;20191119;000000;63.8452000
USDRUB;D;20191120;000000;63.8008000
USDRUB;D;20191121;000000;63.6838000
USDRUB;D;20191122;000000;63.8220000
USDRUB;D;20191124;000000;63.8014000
USDRUB;D;20191125;000000;63.9025000
USDRUB;D;20191126;000000;63.9400000
USDRUB;D;20191127;000000;63.9872000
USDRUB;D;20191128;000000;64.0500000
USDRUB;D;20191129;000000;64.3533000
USDRUB;D;20191201;000000;64.2892000
USDRUB;D;20191202;000000;64.2011000
USDRUB;D;20191203;000000;64.0870000
USDRUB;D;20191204;000000;63.8500000
USDRUB;D;20191205;000000;63.6970000
USDRUB;D;20191206;000000;63.6500000
USDRUB;D;20191208;000000;63.7000000
USDRUB;D;20191209;000000;63.5000000
USDRUB;D;20191210;000000;63.5000000
USDRUB;D;20191211;000000;63.2885000
USDRUB;D;20191212;000000;62.6906000
USDRUB;D;20191213;000000;62.8392000
USDRUB;D;20191215;000000;62.8052000
USDRUB;D;20191216;000000;62.4775000
USDRUB;D;20191217;000000;62.4350000
USDRUB;D;20191218;000000;62.6728000
USDRUB;D;20191219;000000;62.3050000
USDRUB;D;20191220;000000;62.2230000
USDRUB;D;20191222;000000;62.4315000
USDRUB;D;20191223;000000;62.2980000
USDRUB;D;20191224;000000;61.9684000
USDRUB;D;20191225;000000;61.8576000
USDRUB;D;20191226;000000;62.1725000
USDRUB;D;20191227;000000;62.0120000
USDRUB;D;20191229;000000;62.0845000
USDRUB;D;20191230;000000;61.9862000
USDRUB;D;20191231;000000;61.9007000
USDRUB;D;20200101;000000;61.8564000
USDRUB;D;20200102;000000;61.6750000
USDRUB;D;20200103;000000;62.0933000
USDRUB;D;20200105;000000;62.1626000
USDRUB;D;20200106;000000;61.8106000
USDRUB;D;20200107;000000;62.0155000
USDRUB;D;20200108;000000;61.2710000
USDRUB;D;20200109;000000;61.2910000
USDRUB;D;20200110;000000;61.0140000
USDRUB;D;20200112;000000;61.1254000
USDRUB;D;20200113;000000;61.2220000
USDRUB;D;20200114;000000;61.3686000
USDRUB;D;20200115;000000;61.3660000
USDRUB;D;20200116;000000;61.6375000
USDRUB;D;20200117;000000;61.5550000
USDRUB;D;20200119;000000;61.5350000
USDRUB;D;20200120;000000;61.5942000
USDRUB;D;20200121;000000;61.8736000
USDRUB;D;20200122;000000;61.8956000
USDRUB;D;20200123;000000;61.9160000
USDRUB;D;20200124;000000;62.0733000
USDRUB;D;20200126;000000;62.2178000
USDRUB;D;20200127;000000;62.9190000
USDRUB;D;20200128;000000;62.2383000
USDRUB;D;20200129;000000;62.5167000
USDRUB;D;20200130;000000;63.2212000
USDRUB;D;20200131;000000;63.9510000
USDRUB;D;20200202;000000;63.9360000
USDRUB;D;20200203;000000;63.6730000
USDRUB;D;20200204;000000;62.9070000
USDRUB;D;20200205;000000;62.8530000
USDRUB;D;20200206;000000;63.2900000
USDRUB;D;20200207;000000;64.1390000
USDRUB;D;20200209;000000;64.1119000
USDRUB;D;20200210;000000;64.0880000
USDRUB;D;20200211;000000;63.3490000
USDRUB;D;20200212;000000;63.2970000
USDRUB;D;20200213;000000;63.6080000
USDRUB;D;20200214;000000;63.4940000
USDRUB;D;20200216;000000;63.4500000
USDRUB;D;20200217;000000;63.5722000
USDRUB;D;20200218;000000;63.8460000
USDRUB;D;20200219;000000;63.5680000
USDRUB;D;20200220;000000;64.1620000
USDRUB;D;20200221;000000;64.0455000
USDRUB;D;20200223;000000;64.2875000
USDRUB;D;20200224;000000;65.3565000
USDRUB;D;20200225;000000;65.3039000
USDRUB;D;20200226;000000;65.4650000
USDRUB;D;20200227;000000;66.3084000
USDRUB;D;20200228;000000;66.7112000
USDRUB;D;20200301;000000;67.0476000
USDRUB;D;20200302;000000;66.3840000
USDRUB;D;20200303;000000;66.1911000
USDRUB;D;20200304;000000;66.1960000
USDRUB;D;20200305;000000;67.5510000
USDRUB;D;20200306;000000;68.5302000
USDRUB;D;20200308;000000;72.0424000
USDRUB;D;20200309;000000;74.4604000
USDRUB;D;20200310;000000;71.2490000
USDRUB;D;20200311;000000;72.4516000
USDRUB;D;20200312;000000;74.9831000
USDRUB;D;20200313;000000;72.4305000
USDRUB;D;20200315;000000;73.2638000
USDRUB;D;20200316;000000;74.2693000
USDRUB;D;20200317;000000;75.1251000
USDRUB;D;20200318;000000;81.0824000
USDRUB;D;20200319;000000;78.9120000
USDRUB;D;20200320;000000;80.0139000
USDRUB;D;20200322;000000;80.4783000
USDRUB;D;20200323;000000;79.3661000
USDRUB;D;20200324;000000;78.2055000
USDRUB;D;20200325;000000;78.3037000
USDRUB;D;20200326;000000;77.3360000
USDRUB;D;20200327;000000;78.7206000
USDRUB;D;20200329;000000;79.4896000
USDRUB;D;20200330;000000;79.6015000
USDRUB;D;20200331;000000;78.3620000
USDRUB;D;20200401;000000;78.6360000
USDRUB;D;20200402;000000;76.9690000
USDRUB;D;20200403;000000;76.4500000
USDRUB;D;20200405;000000;77.0420000
USDRUB;D;20200406;000000;75.9684000
USDRUB;D;20200407;000000;75.3916000
USDRUB;D;20200408;000000;75.0788000
USDRUB;D;20200409;000000;74.3788000
USDRUB;D;20200410;000000;73.7331000
USDRUB;D;20200412;000000;73.1600000
USDRUB;D;20200413;000000;72.8910000
USDRUB;D;20200414;000000;73.0270000
USDRUB;D;20200415;000000;74.9255000
USDRUB;D;20200416;000000;73.6675000
USDRUB;D;20200417;000000;73.8420000
USDRUB;D;20200419;000000;74.0941000
USDRUB;D;20200420;000000;75.4889000
USDRUB;D;20200421;000000;77.1376000
USDRUB;D;20200422;000000;75.8681000
USDRUB;D;20200423;000000;74.7168000
USDRUB;D;20200424;000000;74.4251000
USDRUB;D;20200426;000000;74.2767000
USDRUB;D;20200427;000000;74.4238000
USDRUB;D;20200428;000000;74.2250000
USDRUB;D;20200429;000000;73.0907000
USDRUB;D;20200430;000000;74.2641400
